,STATE,MONTH,IVM,CUMULATIVE_IVM,CFR,DEATHS,CASES_PER_1000,CASES,POPULATION,VAX,CUMULATIVE_VAX,IVM/CASE,DEATHS_PER_1000
184,MENDOZA,2020-07-01,7.653,36.906,0.0483018867924528,64,0.7607903032251767,1325,1741610,0.0,0.0,10059.276475471697,3.674760709917835e-05
185,MENDOZA,2020-08-01,11.027,47.933,0.0381296966323406,274,4.126067259604619,7186,1741610,0.0,0.0,2672.5206610075143,0.0001573256928933573
186,MENDOZA,2020-09-01,27.845,75.778,0.0270716237817769,525,11.135099132411964,19393,1741610,0.0,0.0,2500.6512891249417,0.00030144521448544737
187,MENDOZA,2020-10-01,55.8,131.578,0.027608904328747,604,12.561365632948824,21877,1741610,0.0,0.0,4442.192165287745,0.00034680554199849567
188,MENDOZA,2020-11-01,224.58,356.158,0.0284736784019423,258,5.202657311338359,9061,1741610,0.0,0.0,43166.40258249641,0.00014813879111856272
189,MENDOZA,2020-12-01,88.379,444.537,0.0195901145268233,65,1.9051337555480277,3318,1741610,0.369198615,0.36919862,46389.918682941534,3.732178846010301e-05
190,MENDOZA,2021-01-01,163.062,607.599,0.0199344620425996,73,2.102652143706111,3662,1741610,7.432777717,7.80197633,77550.6307536865,4.19152393475003e-05
191,MENDOZA,2021-02-01,94.479,702.078,0.0199754148740012,65,1.868386148448849,3254,1741610,9.799553287,17.6015296,50567.17000307314,3.732178846010301e-05
192,MENDOZA,2021-03-01,98.147,800.225,0.0249737670514165,119,2.735974184806013,4765,1741610,66.4655118,84.0670414,35872.7799937041,6.832758195003474e-05
193,MENDOZA,2021-04-01,448.573,1248.798,0.0236829386176897,588,14.2557748290375,24828,1741610,116.9699301,201.036972,31466.055362091185,0.00033761864022370107
194,MENDOZA,2021-05-01,350.723,1599.521,0.0313625324512184,749,13.712599261602769,23882,1741610,105.0901178,306.127089,25576.69726279206,0.00043006183933257157
196,MISIONES,2020-04-01,9.238,13.595,0.0666666666666666,1,0.0136633300814607,15,1097829,0.0,0.0,676116.2868,9.108886720973849e-07
198,MISIONES,2020-06-01,7.277,27.136,0.1538461538461538,2,0.011841552737266,13,1097829,0.0,0.0,614530.8948461539,1.8217773441947698e-06
202,MISIONES,2020-10-01,75.709,151.19,0.0169491525423728,3,0.1612272949612371,177,1097829,0.0,0.0,469579.2980847458,2.732666016292155e-06
203,MISIONES,2020-11-01,78.868,230.058,0.0095238095238095,2,0.1912866211404508,210,1097829,0.0,0.0,412302.75034285715,1.8217773441947698e-06
204,MISIONES,2020-12-01,527.04,757.098,0.0190114068441064,10,0.4791274415232245,526,1097829,1.416431885,1.41643189,1099999.6124714827,9.10888672097385e-06
205,MISIONES,2021-01-01,2201.501,2958.599,0.0210555867490174,75,3.2445854500108853,3562,1097829,5.761370851,7.17780274,678515.3400699046,6.831665040730388e-05
206,MISIONES,2021-02-01,421.299,3379.898,0.0167566032377165,59,3.2072390144548923,3521,1097829,21.2610525,28.4388552,131358.7787193979,5.374243165374571e-05
207,MISIONES,2021-03-01,406.778,3786.676,0.02021726010863,67,3.0186850593307337,3314,1097829,43.97497242,72.4138277,134753.37506397103,6.102954103052479e-05
208,MISIONES,2021-04-01,223.525,4010.201,0.0132307692307692,43,2.9603881843165007,3250,1097829,83.76350051,156.177328,75505.30068461539,3.916821290018755e-05
209,MISIONES,2021-05-01,328.139,4338.34,0.0173812282734646,75,3.930484620100216,4315,1097829,133.1919634,289.369292,83485.63388899188,6.831665040730388e-05
210,NEUQUEN,2020-03-01,4.963,4.963,0.1363636363636363,3,0.0399757238331631,22,550334,0.0,0.0,124150.34736363636,5.451235068158609e-06
211,NEUQUEN,2020-04-01,16.326,21.289,0.0412371134020618,4,0.1762566005371283,97,550334,0.0,0.0,92626.31839175257,7.268313424211479e-06
213,NEUQUEN,2020-06-01,6.922,34.48,0.0394736842105263,15,0.6904897753000905,380,550334,0.0,0.0,10024.768284210526,2.7256175340793047e-05
214,NEUQUEN,2020-07-01,9.665,44.145,0.0147651006711409,11,1.3537233752593878,745,550334,0.0,0.0,7139.567932885905,1.9987861916581568e-05
215,NEUQUEN,2020-08-01,12.473,56.618,0.033423667570009,74,4.0230114803010535,2214,550334,0.0,0.0,3100.413722673894,0.00013446379834791236
216,NEUQUEN,2020-09-01,30.976,87.594,0.029101856497742,232,14.485748654453475,7972,550334,0.0,0.0,2138.3775694932265,0.00042156217860426576
217,NEUQUEN,2020-10-01,183.135,270.729,0.0250204526861194,367,26.652905326583493,14668,550334,0.0,0.0,6871.108337196618,0.0006668677566714032
218,NEUQUEN,2020-11-01,424.26,694.989,0.0176149208741522,187,19.290103827857266,10616,550334,0.0,0.0,21993.660779954786,0.00033979365258188666
219,NEUQUEN,2020-12-01,443.329,1138.318,0.0162248297841518,112,12.54329189183296,6903,550334,2.936398623,2.93639862,35343.91161610894,0.0002035127758779214
220,NEUQUEN,2021-01-01,1786.615,2924.933,0.0132544555938295,177,24.265264366730023,13354,550334,8.54390243,11.4803011,73628.49928186311,0.00032162286902135794
221,NEUQUEN,2021-02-01,874.13,3799.063,0.0188758389261744,135,12.995744402490123,7152,550334,32.89820364,44.3785047,67262.78795022372,0.0002453055780671374
